	1Hz	2Hz	3Hz	4Hz	5Hz	6Hz	7Hz	8Hz	9Hz	10Hz	11Hz	12Hz	13Hz	14Hz	15Hz	16Hz	17Hz	18Hz	19Hz	20Hz	21Hz	22Hz	23Hz	24Hz	25Hz	26Hz	27Hz	28Hz	29Hz	30Hz	31Hz	32Hz	33Hz	34Hz	35Hz	36Hz	37Hz	38Hz	39Hz	40Hz	41Hz	42Hz	43Hz	44Hz	45Hz	46Hz	47Hz	48Hz	49Hz	50Hz	51Hz	52Hz	53Hz	54Hz	55Hz	56Hz	57Hz	58Hz	59Hz	60Hz	61Hz	62Hz	63Hz	64Hz	65Hz	66Hz	67Hz	68Hz	69Hz	70Hz	71Hz	72Hz	73Hz	74Hz	75Hz	76Hz	77Hz	78Hz	79Hz	80Hz	81Hz	82Hz	83Hz	84Hz	85Hz	86Hz	87Hz	88Hz	89Hz	90Hz	91Hz	92Hz	93Hz	94Hz	95Hz	96Hz	97Hz	98Hz	99Hz	100Hz	101Hz	102Hz	103Hz	104Hz	105Hz	106Hz	107Hz	108Hz	109Hz	110Hz	111Hz	112Hz	113Hz	114Hz	115Hz	116Hz	117Hz	118Hz	119Hz	120Hz	121Hz	122Hz	123Hz	124Hz	125Hz	126Hz	127Hz	128Hz
sample_0	0.5832097776056276	0.6480844140358979	0.5737123049309475	0.5671640857954876	0.5144277163619994	0.4332715806809734	0.4543417003767198	0.3312201718874705	0.3344531603028864	0.267206754625838	0.2416574488480873	0.2588891062913061	0.2411438868288778	0.2371439143355488	0.2764754936007427	0.3674186302596501	0.322475187116469	0.3930510484661623	0.385378274085809	0.4410564022904197	0.429384162960362	0.432338442683683	0.4756861223399755	0.4681038230276473	0.4778009411486897	0.4273065987375763	0.4344970139502807	0.4197904425042439	0.3564709982833853	0.3353075308011762	0.293618147799946	0.2283124982781893	0.2033296097762724	0.1558418012816117	0.1342701154105286	0.0915502877493375	0.0649888197734877	0.0853886733939634	0.0892591298270607	0.142938527820371	0.1832803094473997	0.1956585372881349	0.2426946009250496	0.2412584417746863	0.2821902741586666	0.302902537277619	0.3071982258336466	0.3543566468788832	0.3320464015776529	0.3484376791609456	0.3297044267057228	0.3404902571672806	0.3201653780481412	0.2905056916135384	0.2817100291381466	0.2300236470203448	0.2200713603522085	0.1981676728136959	0.1643488924634608	0.1594793194890106	0.1309121411138569	0.1186533522782299	0.1152061712929591	0.1808938877386826	0.1538841313114057	0.2024050520997944	0.1974011600171248	0.254791806067788	0.2567533162008617	0.2709393277753881	0.3193090127216749	0.3020357501032767	0.3506118870394402	0.3259369298397408	0.351522974531206	0.3837745412781753	0.3583407465766723	0.3572720029662175	0.3492701655065022	0.3234497851902284	0.3125674981167733	0.272510072637304	0.2788042356123916	0.2409188843971718	0.2347110925329746	0.2092482113846706	0.1818187239150056	0.2149900052015505	0.1739741675835622	0.1885327970553975	0.1869764575154446	0.2180279730314766	0.2077647742763601	0.2453464953991581	0.2627720089665162	0.2872896807775117	0.3020749388591781	0.3250298951769906	0.352932604855474	0.3742352086432749	0.3905929735471347	0.3788442231435467	0.3897247599825644	0.382950816310344	0.3597954746377667	0.3534667674599968	0.3428874357076589	0.3443488504941209	0.3133291451989992	0.2978491474589523	0.2840551636151178	0.2906010342712832	0.2562658637303029	0.2479326243317403	0.2384867984838242	0.2287239786751445	0.2301031842921966	0.2361820821843374	0.266993953802921	0.2399081226056328	0.2960973678758934	0.2870543854399461	0.3258102587267372	0.3427235497399015	0.3698533625010184	0.3866708453116399	0.3803655940627461	0.4245427157104914
sample_1	0.4909824935175504	0.5972038399415093	0.5062448838741659	0.5029078435898513	0.4571331013760146	0.3626929080042198	0.4109908168503699	0.272505808046279	0.293457900421697	0.2205149531581165	0.1986224292672519	0.2257557982575553	0.200806981814375	0.1989772809323501	0.232678483031848	0.3426383879361463	0.2659844646137026	0.3552756622654373	0.3291335285214866	0.3910302276845658	0.376418016647207	0.3764694678491251	0.4295073241236498	0.4202310267293649	0.4308321153429031	0.3793908066007288	0.3944702299498391	0.3837682605339908	0.3140466524431201	0.2942698303281225	0.2626564424335342	0.1871554244694741	0.1782689233604722	0.1256129687426783	0.116971617038069	0.0736373488343023	0.0338339470861165	0.0648509319333119	0.0708087266221875	0.1210305563987899	0.1653838029759647	0.1646246853035857	0.2156196022368234	0.2059699235332777	0.2502375448847352	0.2659984445172723	0.2615814826369064	0.316572647247846	0.2893603415599576	0.3098243412119547	0.2864977020609215	0.3062750080168777	0.281475659309556	0.250042899355498	0.2454988289889771	0.1900881601995898	0.1854077771182442	0.1670386260746395	0.1275193564756734	0.1387004749887376	0.0959302473110746	0.082221660192656	0.0717312074492979	0.1456290817564313	0.1021232831150252	0.1630820323300464	0.1419606795156201	0.2139803347773299	0.2070517806863131	0.2124959865928941	0.2712743911292741	0.2386836612874068	0.3048580009052849	0.2707912205271454	0.302528724028602	0.3483095368443641	0.3130092146904813	0.3178409185375476	0.3145044268738876	0.289309690201359	0.2881257082061066	0.2357417425397452	0.2571311308959875	0.2136162555882773	0.213987936659375	0.1886438875100159	0.1525439967003452	0.2015939468819487	0.133700246346476	0.1557946946571367	0.1406937302176365	0.1815783330127539	0.1579960129914321	0.1999073070367087	0.2180846483269767	0.2350629887385	0.2581915319958012	0.2760179643835571	0.3205319213347862	0.3368960034920577	0.3548665470006487	0.3415867215404261	0.3551348996242473	0.3570842950299856	0.3237793536836191	0.3189488764837299	0.3067345214594987	0.3124113359828133	0.2768698465535179	0.2645829513355918	0.252959755342092	0.2712458673075994	0.212489503348527	0.2149464136991464	0.1993209737034255	0.187269920344835	0.1868779861877134	0.1881051292616638	0.2268081948665843	0.1829259205622863	0.2565241010441462	0.2359403362045721	0.2832402967108713	0.2954613418176722	0.3261362748103146	0.3474855331696789	0.3380074660113557	0.3976633441153532
sample_2	0.4929245001484913	0.5940713031895277	0.4854614671780874	0.4761846804246062	0.4375967081113368	0.3414071599512879	0.3824914618283189	0.2489111888193722	0.2619146820184507	0.1824272912090471	0.1576867777774286	0.179079761201392	0.1674968328004942	0.1670902699215721	0.2071233027859575	0.3353658054371873	0.249120396702644	0.3486334208095176	0.310484613641784	0.3683048692876424	0.3545362669461976	0.3509308473262834	0.4040142287801004	0.3952280990421317	0.4089093799700993	0.3505889632515588	0.3595931422469248	0.3462756160182454	0.2784983865408309	0.260927686748115	0.2207321415498504	0.1629229756657558	0.1403440830900337	0.0956085043175842	0.0886957057790059	0.0496245413688699	0.0208634775378624	0.0324589195050787	0.0746694745260866	0.1138425619085727	0.1641472200094481	0.1559718301741327	0.2020235193557137	0.19249312500238	0.225380100189784	0.2433849345807734	0.2429074752511921	0.2937403219865234	0.2637144415474203	0.2843611855300998	0.260528717544882	0.2738959512111052	0.2534002672843111	0.2211465529452755	0.2146849097608412	0.1523393382887067	0.1511543335349353	0.1330861491305494	0.0987962420779011	0.1081355413602499	0.0767843985176254	0.0651085273323209	0.0674654821442307	0.1723463370764111	0.1186629556809612	0.1845964632053098	0.1609530685915618	0.2218121648889878	0.2144114864555612	0.2161053602839563	0.270504478849187	0.2290807248946157	0.2878740644049448	0.24810254828975	0.2745143961688785	0.3117666159951427	0.2788070396672241	0.279084529042489	0.2700026601896917	0.2234985202912676	0.2302516251490371	0.1762145411272152	0.1976377544748237	0.1589265448004913	0.1586204765275679	0.1429874454569075	0.1079398836332376	0.1678090989535327	0.1181187183141437	0.1416255397645484	0.1354903908674594	0.1667758756796813	0.1480923308276021	0.1841668888504692	0.1947853079354791	0.2133116750198487	0.2249039992041988	0.2389364783903767	0.2710342810958192	0.2894465926218463	0.3080839007182736	0.2905211291339982	0.2985731122605017	0.2860755071813554	0.2540820812391071	0.2549356554885715	0.2432533904133534	0.2506610772839652	0.2249523675512661	0.2162367576829929	0.2044319751484008	0.2274378572952932	0.1943095276559569	0.1969767863954004	0.1808498045358342	0.1729357819243724	0.1724194547847512	0.1694395399201211	0.2071818110438296	0.1537861709969068	0.2164516030567524	0.187848212103266	0.2301520061509187	0.2419550922795472	0.2679759287112355	0.2923367964407968	0.2742334270591368	0.3222029585988394
sample_3	0.5659338904820038	0.6436307434889964	0.5635292915315256	0.5652539053596166	0.5083217719450341	0.4209132299607875	0.4451964118545542	0.3226146882375739	0.315879104082737	0.2498449676539468	0.217083392126	0.2310488468989699	0.2151658460864846	0.2088981493696382	0.2558643527553738	0.3530426388990635	0.3082517313168938	0.3865722545026714	0.3738215986825753	0.4414979323546929	0.4254562661773735	0.4283986262838598	0.4772535597036265	0.4638889149339061	0.4762106665020683	0.424699983455346	0.4320371897325044	0.422395893665139	0.3517777957523206	0.3392742367368607	0.2895581403752042	0.236674714625442	0.198989941516991	0.1530548762933152	0.131660950202438	0.0768208558303627	0.0493925993785322	0.0697758093116064	0.0794641512195052	0.131051416649023	0.180507650467921	0.1892592623246217	0.2412728964611449	0.2417856426935719	0.284635140046696	0.3055681867600432	0.3060299466048463	0.3588224395984102	0.3303641372122219	0.3532638313780035	0.3301743840919344	0.3414886561603132	0.3228475836331123	0.2905218179964702	0.2827668241845755	0.2316390216350635	0.2192652970964766	0.1975249073940827	0.1580318781989557	0.153091351141549	0.1190697921460171	0.1044995975312383	0.1021080389160874	0.1682834980004779	0.1436197376536072	0.1979772480494794	0.1902438602851916	0.256638674575432	0.2580071646289918	0.2718906432674266	0.3222527726479106	0.3045428174339757	0.3540649562547555	0.3273164647337048	0.3537679373628764	0.386444917926234	0.3569625091174905	0.3583144603506453	0.3458471562902712	0.3239029544542329	0.3121311085958362	0.2677851954987124	0.2758201650631462	0.2352822828357439	0.2264434240104066	0.1989929707459676	0.1698560134125794	0.2021741560556675	0.1587321259985511	0.174658873004676	0.1752557573470615	0.2068378721045105	0.1995381223368412	0.2391560333056064	0.2544495191612732	0.2847847518058846	0.2928422157706595	0.3217341056340677	0.3476493988697614	0.3684705405887258	0.3831230734364869	0.3694752282926308	0.3841507858084465	0.376090620631997	0.3560553914344989	0.3452621292786653	0.3362714846765492	0.3384982812709881	0.3017618506375383	0.286161120676686	0.2737444919447795	0.2754648361836236	0.2374829124151752	0.2284068245900626	0.2196486344250085	0.209060269703351	0.2110677012991985	0.2203557821360779	0.2492438675559767	0.2274733138592705	0.2844538755128518	0.2745947163589186	0.3165139810875647	0.3305866305366708	0.3578523496779552	0.3726325738336454	0.3694849800254301	0.4096117444521768
sample_4	0.587624663397363	0.6549328062139087	0.5776243237964858	0.570899171356	0.5189605016449673	0.4396816291370399	0.4618482900768965	0.3398869555699512	0.3460693148402178	0.2795616528003979	0.2565742276466952	0.2742597498480382	0.2545569608523163	0.2519732302363727	0.2866051270136051	0.3720082877000787	0.3286327039028841	0.3973481918599463	0.3899344101038094	0.4437545336494647	0.433285507147752	0.4388361593611089	0.4799393525497272	0.477071232769192	0.4842073748504762	0.4393699844049058	0.4449782836476667	0.4296359235618133	0.3682914674324766	0.3444650594586489	0.3062151041757224	0.2371012637455394	0.2165670796991738	0.1694764866767697	0.1486737348824857	0.110072030066172	0.0810950419501709	0.0984173930724672	0.0943868550397654	0.148837885057743	0.1842878505401946	0.1995514591104552	0.2445669707058768	0.2418775657054961	0.2860531157075062	0.3054799642807251	0.3126713692773816	0.3574611553130827	0.3408571991092038	0.3573514815263123	0.3394381373131335	0.3524742782266283	0.3312611694326464	0.3031807567370124	0.2941346298276385	0.2439229315508138	0.2339935515365843	0.2120651287975413	0.1792224990063753	0.175345007155302	0.1459833853193468	0.1337715428135162	0.1261565312239725	0.1849228729750621	0.1589642404458863	0.2050448047037134	0.1987926408812862	0.2545400337016757	0.2578203863834043	0.2723722729798112	0.3208177393791085	0.3054199690585877	0.3558154546502947	0.3339780015464319	0.3597807038431193	0.3942010164874778	0.369606167327201	0.3695812669988044	0.3624781164547609	0.3382724309679434	0.327277800492362	0.2866456270882457	0.2935315537317437	0.2555691431384052	0.2503540808329856	0.2247193825448695	0.1969029814541145	0.2300826871423546	0.1852442967811956	0.199899417446119	0.1943275987839651	0.2267274848395057	0.2135088949195682	0.2504757634249398	0.2696226947940045	0.2895480137451522	0.3099307457452723	0.3315073941178952	0.3643002240686022	0.3844923145535865	0.4022284470328944	0.3924712099987102	0.4026705901402438	0.3990492119732791	0.3726039205260124	0.3669442432143709	0.3562444281535287	0.3565990313325167	0.3252071580346342	0.3107853903757157	0.2968670396943934	0.3044636554000076	0.2669065089542063	0.2608801103500423	0.2498619556302664	0.2403382050026048	0.2402031551561961	0.2459494509731999	0.2778959922029147	0.2488016828739521	0.3077429429085613	0.2978256346555403	0.3387782432514957	0.3556089797856207	0.3836073193532673	0.4032298359274247	0.3955011436090027	0.4452288410276805
sample_5	0.5547042338368143	0.634471178512025	0.5508121858633703	0.553756600336976	0.4961317091350277	0.4113164996612627	0.4352404969615406	0.3121548054615599	0.3084931042929498	0.2405489047978969	0.2100564322734148	0.2254150456141289	0.2077889843413692	0.2032167316225955	0.2482793564590796	0.3490645797046572	0.3002502609918179	0.3786475586495489	0.3649627955005838	0.4289327056713159	0.4148521356477234	0.4171893890007037	0.4664053859051879	0.4557128629199727	0.4661465993283262	0.4163532255905607	0.4229864324499006	0.4147782761269659	0.3455975491473814	0.3328640959804544	0.2857245997438495	0.2333946625315301	0.196641032000632	0.1518772431553731	0.1315799986033837	0.0804208116667369	0.0519857992359295	0.0688520490298509	0.0764649956389536	0.1300403038263353	0.175678283983321	0.1865068560810342	0.2358603453926441	0.2354746264329852	0.2788237822875227	0.2999075275805651	0.3012703859718827	0.3551787989786697	0.3268022486348393	0.3492587272116625	0.3257147544785901	0.339037452720098	0.3187045928110272	0.2880311333743264	0.2793156931889581	0.2268455486955504	0.2168089787544846	0.1952656816199977	0.1587728991966477	0.154787725682592	0.1242204402213663	0.1120189588079316	0.1094792701529926	0.1817425220747194	0.1517130798351806	0.2054099457187039	0.1953244494026151	0.2590553882530624	0.2594129742669386	0.2712019575484683	0.3214613636927638	0.3001603139710596	0.35001420589397	0.3208586015140688	0.346684101934618	0.3795187010979363	0.3496027775935998	0.3489530237567342	0.3372367286376153	0.3111648355168961	0.3014809184039375	0.2557643767436232	0.2660755885241627	0.2258177604458472	0.2182808979836542	0.1934738728431828	0.1668746491882112	0.2036878035236219	0.1632171424788578	0.1801351094687537	0.1804228107758772	0.2123883554859987	0.2012650585352132	0.2399803866190984	0.2534248908561974	0.2817710496200553	0.2859161799579331	0.3111097124265038	0.336154092791235	0.3557916261300894	0.3671690031241603	0.3546772927329648	0.3645183428092811	0.3565070834583178	0.333871724881173	0.3245863839925167	0.3164429980001826	0.3177179323966538	0.2846291690908369	0.2692810929155302	0.2610308127305215	0.2643042132756877	0.2308116541852377	0.226739120658637	0.2173783620454459	0.2084839267049948	0.2100429065025553	0.2175595615885389	0.2455722386606192	0.2190388134582834	0.273395057707284	0.259368513640176	0.300038031273086	0.3118108797554364	0.3385978118021569	0.3520587867465374	0.3478891181865855	0.3857004855835372
sample_6	0.5103314204540306	0.6028179268399302	0.4922527771439579	0.4741686826355681	0.4362733228448476	0.3444012881254995	0.3817522126641042	0.2482216139665521	0.2650187102850341	0.1780729127569601	0.1585716262357835	0.177298366287648	0.1673778334043323	0.1754043892986325	0.2089219516327611	0.336483109087253	0.2536966498947948	0.3540508455882173	0.3205250132793209	0.3739516430114588	0.36250080714496	0.3636653987208045	0.4090299017161613	0.4071896064113819	0.4184816263385614	0.3656065533294149	0.37457222564337	0.3511611413192929	0.2880203659813468	0.2555568628060159	0.2215238870244316	0.1439972999429513	0.1363301558947176	0.086701200114939	0.0814517316901627	0.0471294647787957	0.0259372614194539	0.0305125515455889	0.0878412918344564	0.1171540714976351	0.1733544426563206	0.1632627834388301	0.2076332178296234	0.200283702898931	0.2292224718333204	0.2454303643309641	0.2461757560607774	0.2877010541379767	0.26662230447817	0.2811915749574367	0.2606075088923812	0.274260751933234	0.2502192901790306	0.2194603976042325	0.2106910383608872	0.1490275201106225	0.1481235305790357	0.1279550296377489	0.0926930943807096	0.1086022599077567	0.0598736396260694	0.0409375371656218	0.035595500757977	0.1315776301933542	0.0919724242448884	0.1542934217948053	0.1391912032095654	0.2007369694813919	0.191446787881769	0.1997070106724249	0.2484773848533967	0.214736896445986	0.273159413044747	0.2421311834268828	0.2706869912410176	0.309505154233308	0.2821255367338371	0.2846815971060689	0.2788608398894133	0.2374749142433535	0.2419761996852134	0.1908788217069224	0.2083707427061456	0.1721889835041473	0.1737212334234487	0.1511099449155496	0.1137860568804072	0.1596048589989885	0.0954814230263868	0.1215783911690968	0.1042018602838311	0.1408284886581224	0.1224357570496654	0.1594672641019608	0.1794483597529717	0.1903352180513175	0.2218483776093808	0.23446374698566	0.2806228583638034	0.3005385632241831	0.3268939472128514	0.3129829018897901	0.3238282528034566	0.3127305154964672	0.2818064581232851	0.2808033992973902	0.2690141734975955	0.2765770881606015	0.2482482294427222	0.2415323012342565	0.2189008213698249	0.2473106913759712	0.1976108926445694	0.1967070542254629	0.1751914675682273	0.1621409374043111	0.1605700626566975	0.1582606965098479	0.2002987905596834	0.1496858185431825	0.2193684548888757	0.195932056104536	0.2449246092063802	0.2609756785413704	0.2918190731083422	0.3258223040314412	0.3053341188368995	0.3699440034619448
sample_7	0.5306823968476558	0.6204983447848612	0.5309169860775339	0.5287392419263324	0.4752456021261775	0.3869924424149368	0.4198618885274766	0.2865750329704036	0.292164013131494	0.2196638470338085	0.1901154727796865	0.2081803690261483	0.1932370570947494	0.1910178778949619	0.2341245228786343	0.3448009629308631	0.2853323524476464	0.372316164452493	0.3519374195937131	0.4194968745951084	0.4003365689689593	0.404728619054723	0.4555944060877225	0.442191143507351	0.4553669797481664	0.4045620225642411	0.4129264342755864	0.3996457702541299	0.3319424844703202	0.3133500133520715	0.2688941253338125	0.2065688266088145	0.1779236684973096	0.1302568510102306	0.1126725401571947	0.0616047073221811	0.0265190465879785	0.0507325522618739	0.0780327067735453	0.1213926013769238	0.1764332446141912	0.1792110058902797	0.2294576736352278	0.2271712421135223	0.2686824622139828	0.2878765983252863	0.2850010763684534	0.3399761857927436	0.3101024245428762	0.3319069215555752	0.3072357692209537	0.3211654642888508	0.3014866452986752	0.268875244267443	0.261265157187143	0.2077813719867079	0.197931712288227	0.1762742148193123	0.1361422930416977	0.1378007763676308	0.092576277878822	0.0739540154879462	0.0674654316175278	0.1368461630216327	0.1100349033183237	0.1687698975107839	0.1560250518550996	0.2275964857623427	0.2240936479606376	0.2388504421105164	0.2901943539308385	0.2693521544058259	0.322710374497936	0.2948586758077523	0.3242363175104801	0.3612727636833042	0.3326859455740091	0.3364917660815237	0.3251814235150541	0.3030335249384036	0.2934686684574039	0.2460456226720516	0.259313580080919	0.2177463653505313	0.2118277354192069	0.1806852102018153	0.146536091931413	0.1783562268142103	0.1247618769023349	0.142495346983205	0.13471145669189	0.171303264495901	0.1597552912001979	0.2023653774029206	0.2228772750632069	0.2491932357802513	0.2645875509448945	0.2917583687243925	0.330188361235647	0.3496192782340431	0.369953235518211	0.3581197083406101	0.3733041238270552	0.3649745577586758	0.3449095669930004	0.3327879614506968	0.3234780028298129	0.3317510898334678	0.2902426765334709	0.2747843288138469	0.2586104491352891	0.2691208637207469	0.2166545945168386	0.2100643659629973	0.196004595466816	0.1815093397097594	0.1835106735216395	0.1934310585293469	0.2279506489038175	0.2004591364344345	0.2667129407091591	0.2526995641852352	0.3015255503999852	0.3195995763413245	0.3489166719628998	0.3705004271442915	0.3617516810179397	0.4183749669389004
sample_8	0.5925346486789839	0.6544892537211798	0.5720182122838038	0.5623335234567786	0.5079300312267845	0.4237096470094448	0.4385354436076325	0.3234802409952399	0.3129052229810903	0.2393269496331484	0.2103683557281566	0.2189956382115386	0.2054964336441593	0.2080350199830653	0.2519184177230923	0.3515703701281168	0.3104131267179746	0.3892950374610484	0.3804824178336572	0.4352968162697611	0.4305920059684486	0.4341468843560594	0.478863838460619	0.4756095672491144	0.4830726016838218	0.4353621915592052	0.440033725332641	0.4251471958448648	0.3592420856240561	0.3375324107391215	0.2930701853212091	0.2339818774572408	0.1980788242469622	0.1515747290082768	0.1283497022422547	0.0811143447856986	0.0421912409846832	0.0593540945705598	0.0756197481846809	0.1323618277749091	0.1815933331111992	0.1941245132589317	0.2409412979681268	0.2450887610021398	0.2852639984871406	0.3072555321581497	0.3142187060816221	0.3610491042840237	0.3414298563455062	0.359055982294082	0.3401434249690753	0.3505497862987066	0.3287188510741509	0.2996616836776261	0.2860653943886539	0.2333521992175172	0.2200199609726683	0.1969965268569992	0.1588467088567454	0.152343930330378	0.1188124176068575	0.103177083851185	0.0981501923589179	0.172313278529375	0.1457591192739907	0.1996946930845757	0.1970343088080688	0.2562094211675147	0.2611902423722155	0.2737561830296336	0.3234366322015815	0.3073960588334616	0.3552885703862745	0.3308081858101456	0.356704612039558	0.3891251260103625	0.363634513081535	0.3601100902165115	0.3518056859800392	0.3176082863812461	0.3106561673026674	0.264925383787629	0.26992246899306	0.2326844235276868	0.2222667627031917	0.1971838538069941	0.1665318805876644	0.200328361232584	0.1588801227390035	0.173112337767681	0.1733356826539788	0.2047882865089664	0.1961209512306802	0.2342426285859659	0.2519711788917531	0.2755661183373606	0.2918080895588107	0.3144112757110596	0.3454225911210879	0.3671748259116126	0.3827068561082096	0.3728712630342503	0.3810118048829572	0.3739940169202934	0.3457594204264897	0.3415260253218998	0.3309299201562578	0.3268916527393521	0.2987450205547987	0.2828447632241784	0.2691572739917971	0.2716981389933178	0.2389372445665815	0.2314634236558388	0.2182913432091616	0.2089586951049922	0.2103414643884855	0.2174485967735069	0.2481285510130598	0.2224850187667605	0.2746768814634829	0.268453776756341	0.3072727259234862	0.3226219949281362	0.3524223297015988	0.3729516386326806	0.3671166503041544	0.3987595687716124
sample_9	0.4891731821556127	0.6011648260330199	0.4974309914049457	0.4958700312466591	0.4512594759087205	0.3562429718950923	0.4013276260220609	0.2602817993046026	0.2778055562057423	0.1995753703429952	0.1737693696259426	0.1970168291728702	0.1806626297602491	0.1796753814724047	0.2188518372423563	0.3408345107975565	0.2593847788010506	0.3584189106780658	0.3260706529997222	0.3917028637774533	0.3750631355905401	0.3735327029402807	0.4280807966207787	0.413333584032889	0.429179915106586	0.3728741703297185	0.3856299340324461	0.3710902528044697	0.3035699067972729	0.2857299819759402	0.2464188892752035	0.1800598839631908	0.163396381657678	0.1131887854658729	0.1023929409214586	0.0575610820836364	0.0183237731050553	0.0464860269422434	0.0723809216995797	0.1158778359329683	0.1661255855086529	0.1632854950101679	0.2136886559523747	0.2052617865723996	0.2453442116492401	0.2627669495088649	0.2597635398421696	0.3143869773729734	0.2841701109267999	0.3075850297887379	0.2821528502875499	0.2993531046535628	0.2774846954855461	0.245094402967069	0.2426984356452897	0.1821943525310096	0.1815704459826989	0.1600961894434502	0.1213850763406597	0.1313847353907936	0.0861919055746741	0.0715674372594465	0.0638424122900964	0.1478862421648485	0.1025571116486843	0.1697209543123105	0.1469426464395892	0.2187589556271028	0.2104196762982563	0.2194431430599168	0.2751943925664121	0.2396153796656604	0.3033850681824669	0.2656585532904661	0.2967836268893524	0.3349096567069412	0.3023368732389252	0.305618233484879	0.297771242454114	0.2656420739860859	0.2656961645202749	0.2117564102435269	0.2326542443719806	0.1879618395955886	0.1885006569731713	0.1628286727960889	0.1249497174826062	0.173991693883902	0.1107223232794104	0.1380905596084034	0.1255774597967812	0.1635668522221862	0.1458715758142045	0.1867998535577095	0.2038384008046747	0.2203786661049929	0.2409158866019397	0.2602059305703628	0.2976943904179551	0.3167046440710168	0.3355348975325294	0.3222488416661016	0.3358178234794002	0.3293342258506862	0.3042196691581572	0.296794400116629	0.2871904593278597	0.2940969562331715	0.2590427722135395	0.2479221796632373	0.2318942277358886	0.2516327479679516	0.2012357709877551	0.1995249955729257	0.1847329777740213	0.1741683398736938	0.1743750166075643	0.1784664942330371	0.2172533380390372	0.1749643175538449	0.24697738522682	0.2222419209735409	0.2729948608874978	0.284433883644826	0.3135166277250193	0.337221519199256	0.3210896875140775	0.3863609329420602
